CAND_ID,Amount,CAND_NAME,PTY,OFFICE
1497,2915861,Virginia Polytechnic Institute and State University,REP,H
1317,1228750,Potomac Riverkeeper,REP,H
1545,1130000,Shenandoah Valley Network,DEM,H
1308,1121500,Piedmont Environmental Council,REP,H
1316,937434.66,Potomac Conservancy,REP,H
1555,869941,Virginia Department of Conservation and Recreation,REP,H
898,572000,Chesapeake Bay Funders Network,REP,H
1485,551000,Valley Conservation Council,DEM,H
1504,460000,Water Stewardship,REP,H
894,426318,Chesapeake Bay Foundation,REP,H
1368,425505,Shenandoah Resource Conservation and Development Council,REP,H
1020,307500,Environmental Defense Fund,DEM,H
1063,300700,Friends of the North Fork of the Shenandoah River,DEM,H
1369,287000,Shenandoah Valley Battlefields Foundation,REP,H
1381,283000,Southern Environmental Law Center,DEM,H
1464,254069.79,Trout Unlimited,REP,H
1523,217500,Wild Virginia,DEM,H
1549,200000,James Madison University,DEM,H
1550,200000,Eastern Mennonite University,DEM,H
948,142000,Community Alliance for Preservation,REP,H
1551,141602.95,Clarke County,REP,H
1544,112500,Whitehouse Farm Foundation,REP,H
1552,100000,"City of Waynesboro, Virginia",REP,H
1366,87500,Shenandoah Forum,REP,H
1542,85000,Mary Baldwin College,DEM,H
1340,78700,River Network,DEM,H
1553,69865,Virginia Poultry Federation,REP,H
949,60000,Community Foundation of Harrisonburg and Rockingham County,REP,H
856,51559.32,Cacapon Institute,REP,H
904,48000,Chesapeake Media Service,REP,H
1547,40000,Frederick County Landmarks Foundation,REP,H
1554,34255,Virginia State Dairymen's Association,DEM,H
1282,32500,Northern Shenandoah Valley Regional Commission,DEM,H
908,30000,Chesapeake Wildlife Heritage,REP,H
1556,30000,Jefferson County Departments of Planning and Zoning,REP,H
1541,28800,Friends of the Shenandoah River,REP,H
1167,25000,Keystone Research Center,REP,H
1562,24200,Central Shenandoah Planning District Commission,REP,H
1103,20000,"H. John Heinz III Center for Science, Economics and the Environment",DEM,H
1548,18000,Page County,DEM,H
1563,15000,Virginia Conservation Legacy Fund,REP,H
1546,12500,Shenandoah Community Foundation,REP,H
1559,10000,Appalachian Trail Conservancy,REP,H
1540,8000,Center for Agricultural Partnerships,DEM,H
1560,7000,Shenandoah University,REP,H
1543,5500,Virginia Outdoors Foundation,REP,H
1067,5000,Friends of the Rivers of Virginia,REP,H
1557,3388,Fairfield Elementary School,DEM,H
1558,3000,Virginia Hot Springs Preservation Trust,DEM,H
1561,2000,Upper Roanoke River Roundtable,DEM,H
1486,1200,Valley Elementary School,REP,H
