CAND_NAME,CAND_ID,Amount,Type
10.26.52.169,0,19582815,flow
10.59.45.180,1,7169329890,flow
10.59.223.26,2,480367534,flow
10.59.223.66,3,724976196,flow
10.24.47.157,4,9738208,flow
10.59.81.213,5,176315353,flow
10.59.22.82,6,9560063,flow
10.59.174.187,7,4568519,flow
10.26.52.84,8,4322908,flow
10.59.223.31,9,5580315,flow
10.59.253.58,10,96274328,flow
10.26.52.237,11,2841242,flow
10.26.52.55,12,2804851,flow
10.26.52.183,13,2716698,flow
10.26.52.162,14,3180568,flow
10.59.174.170,15,2818753,flow
10.59.174.62,16,9539696,flow
10.14.252.143,17,80531176,flow
10.59.137.255,18,47174839,flow
10.59.207.218,19,957824653,flow
10.41.27.230,20,2553710,flow
10.59.223.172,21,33198792,flow
10.59.174.143,22,1438633,flow
10.50.185.170,23,4145591,flow
10.26.52.120,24,1309130,flow
10.59.253.170,25,780004962,flow
10.34.143.103,26,2226054,flow
10.59.253.48,27,1340009,flow
10.59.88.121,28,26578429,flow
10.41.242.201,29,217084,flow
10.59.34.15,30,1660943,flow
10.19.172.148,31,868780,flow
10.59.45.122,32,22822091,flow
10.65.221.150,33,1183298,flow
10.24.32.70,34,42217236,flow
10.41.68.117,35,33549797,flow
10.41.73.100,36,1183839,flow
10.28.52.151,37,2202028,flow
10.28.52.233,38,2170534,flow
10.28.160.160,39,1140996,flow
10.65.117.39,40,1138578,flow
10.65.117.184,41,1107396,flow
10.41.11.98,42,5726839,flow
10.19.240.213,43,397761385,flow
10.59.126.85,44,643731,flow
10.32.170.23,45,33940809,flow
10.32.170.198,46,34203392,flow
10.59.223.186,47,61688539,flow
10.59.253.157,48,40233252,flow
10.59.253.30,49,718032,flow
10.99.216.254,50,10514252,flow
10.59.223.59,51,10351443,flow
10.16.249.11,52,1205240,flow
10.59.216.254,53,8359129,flow
10.16.249.62,54,1264366,flow
10.59.255.110,55,10006566,flow
10.46.24.248,56,690955,flow
10.34.143.65,57,656985,flow
10.41.141.77,58,19281620,flow
10.41.141.51,59,19095196,flow
10.28.196.177,60,610186,flow
10.41.141.181,61,17097251,flow
10.41.141.9,62,17368815,flow
10.41.141.163,63,17493105,flow
10.59.174.4,64,564150,flow
10.45.91.75,65,70857,flow
10.59.137.187,66,209195299,flow
10.59.81.227,67,25030776,flow
10.30.172.236,68,728089,flow
10.46.207.253,69,399458,flow
10.42.99.20,70,386680,flow
10.99.216.132,71,4969904,flow
10.31.68.144,72,12939339,flow
10.41.18.35,73,1299845,flow
10.31.68.9,74,12239961,flow
10.31.68.27,75,12162232,flow
10.31.68.77,76,11310178,flow
10.31.68.107,77,10439572,flow
10.31.68.242,78,11620364,flow
10.31.68.103,79,11610997,flow
10.59.137.52,80,5493542,flow
10.59.126.199,81,12269482,flow
10.32.170.99,82,10037194,flow
10.41.153.124,83,3187331,flow
10.62.35.233,84,12113594,flow
10.37.125.90,85,8653036,flow
10.37.125.187,86,7315444,flow
10.34.38.92,87,6927848,flow
10.34.38.202,88,7258637,flow
10.28.15.69,89,6340123,flow
10.64.181.197,90,196763,flow
10.59.81.153,91,2760891,flow
10.34.38.206,92,6197342,flow
10.41.242.118,93,33005,flow
10.37.68.64,94,952456,flow
10.28.15.63,95,6189749,flow
10.28.15.95,96,6031215,flow
10.37.125.13,97,5724659,flow
10.41.80.139,98,869323,flow
10.28.15.22,99,5633732,flow
10.73.244.80,100,149347801,flow
10.42.244.94,101,82144301,flow
10.19.66.219,102,63962279,flow
10.59.180.205,103,51576692,flow
10.59.137.214,104,50118725,flow
10.59.137.117,105,43840796,flow
10.59.223.142,106,38089480,flow
10.76.90.35,107,27875229,flow
10.59.137.235,108,25902391,flow
10.17.181.141,109,24292620,flow
10.45.32.237,110,24044040,flow
10.24.53.124,111,21619885,flow
10.59.137.72,112,21572807,flow
10.66.146.208,113,19761618,flow
10.66.233.170,114,17586835,flow
10.59.126.220,115,17542129,flow
10.59.126.7,116,13706731,flow
10.59.253.102,117,13096924,flow
10.59.180.143,118,12773356,flow
10.59.223.221,119,12625057,flow
10.59.20.203,120,12161082,flow
10.59.20.39,121,11717253,flow
10.59.20.74,122,11467798,flow
10.59.20.92,123,11175941,flow
10.59.20.136,124,10994419,flow
10.59.20.51,125,10483500,flow
10.59.253.115,126,10215265,flow
10.59.88.194,127,9775545,flow
10.59.20.191,128,9757856,flow
10.59.20.14,129,9470681,flow
10.59.253.128,130,8234897,flow
10.59.216.118,131,8139011,flow
10.59.81.129,132,7743378,flow
10.59.81.157,133,7549500,flow
10.14.141.122,134,7469005,flow
10.59.81.121,135,7367814,flow
10.59.58.228,136,6849585,flow
10.94.216.145,137,6284238,flow
10.65.221.124,138,6279749,flow
10.41.56.60,139,6153558,flow
10.28.15.140,140,5886145,flow
10.59.137.248,141,5723159,flow
10.59.240.194,142,5416158,flow
